Symbol,Security,GICS Sector,GICS Sub Industry,MC2.14,MC3.23,SP2.14,SP3.23,value_retention
MET,MetLife Inc.,Financials,Life & Health Insurance,49017728000.0,22061728000.0,52.28,23.53,0.4500765110941087
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,18750297600.0,14480624880.0,763.2,589.41,0.7722877358490565
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,16521932960.0,4796182950.0,31.52,9.15,0.29029187817258884
MCHP,Microchip Technology,Information Technology,Semiconductors,26158912000.0,15669992000.0,109.36,65.51,0.5990307242136065
MU,Micron Technology,Information Technology,Semiconductors,64759500000.0,42495750000.0,58.5,38.25,0.6538461538461539
MSFT,Microsoft Corp.,Information Technology,Systems Software,1412552350000.0,1036303580000.0,185.35,135.98,0.7336390612355004
MAA,Mid-America Apartments,Real Estate,Residential REITs,16566895540.0,9640018180.0,145.51,84.67,0.5818844065699952
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,9932628280.0,4558873380.0,137.98,63.33,0.4589795622553994
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,11967150000.0,7485696000.0,55.25,34.56,0.6255203619909503
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,86237600000.0,60588850000.0,59.68,41.93,0.7025804289544236
MNST,Monster Beverage,Consumer Staples,Soft Drinks,37877463260.0,27635475270.0,69.86,50.97,0.729602061265388
MCO,Moody's Corp,Financials,Financial Exchanges & Data,52593219000.0,31251537000.0,277.83,165.09,0.5942122880898392
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,90293280000.0,44968770000.0,55.84,27.81,0.49803008595988535
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,7196250000.0,3538636000.0,18.75,9.22,0.49173333333333336
MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,30722706000.0,20751696000.0,184.41,124.56,0.675451439726696
MSCI,MSCI Inc,Financials,Financial Exchanges & Data,27302768640.0,19599318200.0,322.56,231.55,0.7178509424603174
MYL,Mylan N.V.,Health Care,Pharmaceuticals,11293830000.0,8117118000.0,21.9,15.74,0.7187214611872147
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,19165098400.0,12016945520.0,116.2,72.86,0.6270223752151463
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,8743980000.0,3724500000.0,22.89,9.75,0.4259501965923984
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",12258240000.0,7989100000.0,54.24,35.35,0.6517330383480826
NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,166538739600.0,157725845730.0,380.4,360.27,0.9470820189274448
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,8508330000.0,4465815000.0,20.1,10.55,0.5248756218905473
NEM,Newmont Corporation,Materials,Gold,32391450000.0,30620100000.0,44.07,41.66,0.945314272747901
NWSA,News Corp. Class A,Communication Services,Publishing,8587720000.0,4840886000.0,14.6,8.23,0.5636986301369863
NWS,News Corp. Class B,Communication Services,Publishing,8811236000.0,4787948000.0,14.98,8.14,0.5433911882510014
NEE,NextEra Energy,Utilities,Multi-Utilities,134246640000.0,87560120000.0,278.52,181.66,0.6522332328019532
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,7609107480.0,4247440080.0,21.39,11.94,0.5582047685834501
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",161584524000.0,97735640000.0,103.54,62.8,0.6065288777284141
NI,NiSource Inc.,Utilities,Multi-Utilities,11316666000.0,7814156000.0,30.21,20.86,0.6904998344918901
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,9158480000.0,2136660000.0,19.16,4.47,0.23329853862212943
JWN,Nordstrom,Consumer Discretionary,Department Stores,6251456000.0,2422672000.0,40.28,15.61,0.3875372393247269
NSC,Norfolk Southern Corp.,Industrials,Railroads,55121855000.0,31301104000.0,209.35,118.88,0.5678528779555768
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,21710031200.0,13538735860.0,101.2,63.11,0.6236166007905138
NOC,Northrop Grumman,Industrials,Aerospace & Defense,62800142000.0,45687298000.0,370.94,269.86,0.7275031002318435
NLOK,NortonLifeLock,Information Technology,Application Software,12829860000.0,10296180000.0,20.66,16.58,0.8025169409486931
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",11275227800.0,2078373100.0,52.46,9.67,0.18433091879527258
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,10495720000.0,5805920000.0,40.06,22.16,0.5531702446330504
NUE,Nucor Corp.,Materials,Steel,14382636000.0,8669236800.0,47.15,28.42,0.6027571580063628
NVDA,Nvidia Corporation,Information Technology,Semiconductors,176482110000.0,129528210000.0,289.79,212.69,0.7339452707132751
NVR,NVR Inc,Consumer Discretionary,Homebuilding,14540806465.9,7919175000.0,3993.6299,2175.0,0.5446173166922653
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,30092666650.0,20086926200.0,390.89,260.92,0.6675023663946379
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,33675200000.0,7844055000.0,41.6,9.69,0.23293269230769229
ODFL,Old Dominion Freight Line,Industrials,Trucking,11876031440.0,9197486230.8,147.94,114.5733,0.774457888333108
OMC,Omnicom Group,Communication Services,Advertising,17175172000.0,10616340000.0,78.14,48.3,0.6181213207064243
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,31835848800.0,8105776000.0,76.98,19.6,0.25461158742530526
ORCL,Oracle Corp.,Information Technology,Application Software,180000150000.0,140966100000.0,55.47,44.19,0.7966468361276365
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,25927306000.0,17313779000.0,74.74,49.91,0.6677816430291678
PKG,Packaging Corporation of America,Materials,Paper Packaging,9280572000.0,7149436000.0,98.94,76.22,0.770365878310087
PH,Parker-Hannifin,Industrials,Industrial Machinery,27199620480.0,12526411320.0,211.84,97.56,0.46053625377643503
PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,31946101000.0,18064815000.0,89.21,50.39,0.5648469902477301
PAYC,Paycom,Information Technology,Application Software,18098905230.0,10299965340.0,314.43,178.94,0.569093279903317
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,144390260000.0,100095240000.0,122.99,85.26,0.6932270916334662
PNR,Pentair plc,Industrials,Industrial Machinery,7494256000.0,3870790000.0,44.24,22.85,0.516500904159132
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,6402500000.0,4215800000.0,16.25,10.7,0.6584615384615384
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,205639010000.0,147146820000.0,146.99,105.18,0.7155588815565684
PKI,PerkinElmer,Health Care,Health Care Equipment,10590628120.0,7519611950.0,95.56,67.85,0.710025115110925
PRGO,Perrigo,Health Care,Pharmaceuticals,7848560000.0,5748720000.0,57.71,42.27,0.732455380350026
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,203324190000.0,158660810000.0,36.51,28.49,0.7803341550260202
PM,Philip Morris International,Consumer Staples,Tobacco,137617500000.0,93268900000.0,88.5,59.98,0.6777401129943502
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,40383537080.0,18997910760.0,89.47,42.09,0.47043701799485865
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,11292650490.0,7073789130.0,100.43,62.91,0.6264064522553021
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,23251410000.0,10235430000.0,139.23,61.29,0.4402068519715579
PNC,PNC Financial Services,Financials,Regional Banks,68896110000.0,36046080000.0,154.13,80.64,0.5231947057678583
PPG,PPG Industries,Materials,Specialty Chemicals,28463535000.0,17175250000.0,120.15,72.5,0.6034124011652101
PPL,PPL Corp.,Utilities,Electric Utilities,25767469440.0,13543038080.0,35.37,18.59,0.5255866553576477
PFG,Principal Financial Group,Financials,Life & Health Insurance,15701896000.0,6730976000.0,56.36,24.16,0.42867281760113557
PG,Procter & Gamble,Consumer Staples,Personal Products,313710180000.0,242979900000.0,126.14,97.7,0.7745362295861741
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,48904926000.0,38851890000.0,83.77,66.55,0.7944371493374717
PLD,Prologis,Real Estate,Industrial REITs,61513079000.0,39959854600.0,97.55,63.37,0.6496155817529472
PRU,Prudential Financial,Financials,Life & Health Insurance,38245504000.0,15876256000.0,94.48,39.22,0.41511430990685855
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,29473920000.0,18577440000.0,58.48,36.86,0.6303009575923393
PSA,Public Storage,Real Estate,Specialized REITs,40577499340.0,27992235070.0,232.82,160.61,0.6898462331414827
PHM,PulteGroup,Consumer Discretionary,Homebuilding,12816171550.0,4869541300.0,46.69,17.74,0.3799528807025059
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",6631254000.0,2155510000.0,89.37,29.05,0.3250531498265637
QRVO,Qorvo,Information Technology,Semiconductors,12311996580.0,8054707440.0,106.02,69.36,0.6542161856253538
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,5901255000.0,3467898000.0,40.5,23.8,0.5876543209876544
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,102502400000.0,71534320000.0,89.6,62.53,0.6978794642857143
DGX,Quest Diagnostics,Health Care,Health Care Services,15121900000.0,10068760000.0,112.85,75.14,0.6658396101019052
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",9101448000.0,4885380000.0,121.84,65.4,0.5367695338148392
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,13684785000.0,7620330000.0,98.95,55.1,0.5568468923698838
RTN,Raytheon Co.,Industrials,Aerospace & Defense,63610400000.0,32351200000.0,227.18,115.54,0.5085835020688441
O,Realty Income Corporation,Real Estate,Retail REITs,25345919250.0,13688375580.0,80.25,43.34,0.5400623052959502
REG,Regency Centers Corporation,Real Estate,Retail REITs,10725014520.0,5843306880.0,64.02,34.88,0.5448297407060294
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,43630860000.0,49754796000.0,399.55,455.63,1.1403579026404704
RF,Regions Financial Corp.,Financials,Regional Banks,16457300000.0,7681400000.0,16.54,7.72,0.4667472793228537
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,32248073000.0,21276086000.0,100.43,66.26,0.6597630190182217
RMD,ResMed,Health Care,Health Care Equipment,25467839200.0,17501568320.0,176.6,121.36,0.687202718006795
RHI,Robert Half International,Industrials,Human Resource & Employment Services,6962491200.0,3951965520.0,60.2,34.17,0.5676079734219269
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,23218676000.0,13962676000.0,200.68,120.68,0.6013553916683277
ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,13040134140.0,10338448890.0,39.82,31.57,0.7928176795580111
ROP,Roper Technologies,Industrials,Industrial Conglomerates,40804647000.0,26421770000.0,392.73,254.3,0.6475186514908461
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,43653502360.0,22554429040.0,121.78,62.92,0.5166694038429955
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",23696269800.0,5903126950.0,113.16,28.19,0.2491162955107812
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,75497310000.0,47129070000.0,307.65,192.05,0.6242483341459452
CRM,Salesforce.com,Information Technology,Application Software,157468550000.0,116491080000.0,189.95,140.52,0.7397736246380627
SBAC,SBA Communications,Real Estate,Specialized REITs,33234659490.0,24305827140.0,294.61,215.46,0.7313397372797936
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,47671700000.0,17769550000.0,34.42,12.83,0.3727484020918071
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",14145380000.0,10684360000.0,53.99,40.78,0.7553250601963326
SEE,Sealed Air,Materials,Paper Packaging,5365011000.0,3414659000.0,34.77,22.13,0.636468219729652
SRE,Sempra Energy,Utilities,Multi-Utilities,44731427840.0,25961791680.0,160.96,93.42,0.5803926441351889
NOW,ServiceNow,Information Technology,Systems Software,66411730560.0,47608499120.0,356.16,255.32,0.7168688230008984
SHW,Sherwin-Williams,Materials,Specialty Chemicals,53746651800.0,36418646800.0,585.45,396.7,0.6775984285592279
SPG,Simon Property Group Inc,Real Estate,Retail REITs,42780414000.0,15446772000.0,138.92,50.16,0.3610711200691045
SWKS,Skyworks Solutions,Information Technology,Semiconductors,20252098000.0,12756490000.0,118.99,74.95,0.6298848642743088
SLG,SL Green Realty,Real Estate,Office REITs,7767904320.0,3362495620.0,95.04,41.14,0.43287037037037035
SNA,Snap-on,Industrials,Industrial Machinery,8609926000.0,5265907000.0,156.26,95.57,0.6116088570331498
SO,Southern Co.,Utilities,Electric Utilities,72194920000.0,45218580000.0,69.02,43.23,0.6263401912489134
LUV,Southwest Airlines,Industrials,Airlines,31187860000.0,18146740000.0,57.97,33.73,0.5818526824219423
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,24772504050.0,10686730950.0,166.97,72.03,0.43139486135233873
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,105386112000.0,66751620000.0,89.28,56.55,0.6334005376344085
STT,State Street Corp.,Financials,Asset Management & Custody Banks,28797571350.0,15983854310.0,77.85,43.21,0.5550417469492614
STE,STERIS plc,Health Care,Health Care Equipment,14287625880.0,9136754880.0,168.51,107.76,0.6394872707851167
SYK,Stryker Corp.,Health Care,Health Care Equipment,82855960000.0,47311000000.0,221.54,126.5,0.5710029791459782
SIVB,SVB Financial,Financials,Regional Banks,13779279300.0,7434747150.0,265.42,143.21,0.5395599427322734
SYF,Synchrony Financial,Financials,Consumer Finance,22619250000.0,8578560000.0,33.75,12.8,0.3792592592592593
SNPS,Synopsys Inc.,Information Technology,Application Software,24542357400.0,16298469120.0,163.35,108.48,0.6640955004591369
SYY,Sysco Corp.,Consumer Staples,Food Distributors,39885926850.0,18497155950.0,78.21,36.27,0.46375143843498284
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,82407813120.0,64658700800.0,96.48,75.7,0.7846185737976783
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,32341606000.0,20107868000.0,137.39,85.42,0.6217337506368732
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,12846060930.0,12437224820.0,113.43,109.82,0.9681742043551088
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",8061960000.0,2920080000.0,29.21,10.58,0.3622047244094488
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,59586267000.0,49398921000.0,116.63,96.69,0.8290319814798937
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,31255500000.0,18314450000.0,93.3,54.67,0.5859592711682744
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,7732480000.0,2822400000.0,17.26,6.3,0.36500579374275777
TFX,Teleflex,Health Care,Health Care Equipment,17863230000.0,10409322000.0,386.65,225.31,0.5827233932497091
TXN,Texas Instruments,Information Technology,Semiconductors,123748560000.0,92139840000.0,132.21,98.44,0.7445730277588684
TXT,Textron Inc.,Industrials,Aerospace & Defense,11121625200.0,5010282900.0,48.08,21.66,0.45049916805324464
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,135676000000.0,102120000000.0,339.19,255.3,0.7526754916123707
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",16260097000.0,14734237000.0,134.27,121.67,0.906159231399419
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,76573370940.0,44412071880.0,63.38,36.76,0.5799936888608394
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,11753599590.0,9345889620.0,98.17,78.06,0.7951512682082102
TT,Trane Technologies plc,Industrials,Building Products,35406480000.0,17216416000.0,146.55,71.26,0.48625042647560557
TDG,TransDigm Group,Industrials,Aerospace & Defense,37123450000.0,17307822000.0,646.75,301.53,0.4662234248163896
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,35817600000.0,22973600000.0,137.76,88.36,0.6414053426248548
TFC,Truist Financial,Financials,Regional Banks,44232413760.0,20683121760.0,54.94,25.69,0.46760101929377507
TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,28447607390.0,19029299010.0,36.91,24.69,0.6689244107287999
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,29225130000.0,20908800000.0,80.51,57.6,0.7154390758911936
UDR,"UDR, Inc.",Real Estate,Residential REITs,14353629040.0,8568819880.0,50.32,30.04,0.5969793322734499
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,17037928800.0,8285001600.0,294.57,143.24,0.486268119632006
